,orid,status
960,20180730H040046,unassigned
961,20180730H040054,unassigned
962,20180730H040056,unassigned
963,20180730H040093,unassigned
964,20180730H040102,unassigned
965,20180730H040123,unassigned
966,20180730H040124,unassigned
967,20180730H040136,unassigned
968,20180730H040145,unassigned
969,20180730H040151,unassigned
970,20180730H040169,unassigned
971,20180730H040173,unassigned
972,20180730H040175,unassigned
973,20180730H040193,unassigned
974,20180730H040194,unassigned
975,20180730H040206,unassigned
976,20180730H040207,unassigned
977,20180730H040223,unassigned
978,20180730H040226,unassigned
979,20180730H040265,unassigned
980,20180730H040270,unassigned
981,20180730H040275,unassigned
982,20180730H040279,unassigned
983,20180730H040287,unassigned
984,20180730H040299,unassigned
985,20180730H040330,unassigned
986,20180730H040335,unassigned
987,20180730H040337,unassigned
988,20180730H040366,unassigned
989,20180730H040370,unassigned
990,20180730H040383,unassigned
991,20180730H040387,unassigned
992,20180730H040388,unassigned
993,20180730H040394,unassigned
994,20180730H040402,unassigned
995,20180730H040403,unassigned
996,20180730H040408,unassigned
997,20180730H040411,unassigned
998,20180730H040414,unassigned
999,20180730H040423,unassigned
1000,20180730H040437,unassigned
1001,20180730H040453,unassigned
1002,20180730H040459,unassigned
1003,20180730H040471,unassigned
1004,20180730H040474,unassigned
1005,20180730H040603,unassigned
1006,20180730H040624,unassigned
1007,20180730H040627,unassigned
1008,20180730H040662,unassigned
1009,20180730H050008,unassigned
1010,20180730H050020,unassigned
1011,20180730H050036,unassigned
1012,20180730H050074,unassigned
1013,20180730H050096,unassigned
1014,20180730H050240,unassigned
1015,20180730H050293,unassigned
1016,20180730H050300,unassigned
1017,20180730H050381,unassigned
1018,20180730H090009,unassigned
1019,20180730H100004,unassigned
1020,20180730H100006,unassigned
1021,20180730H150001,unassigned
1022,20180730H170001,unassigned
1023,20180730H180113,unassigned
1024,20180730H180207,unassigned
1025,20180730H190015,unassigned
1026,20180730H190025,unassigned
1027,20180730H190026,unassigned
1028,20180730H190031,unassigned
1029,20180730H190032,unassigned
1030,20180730H190056,unassigned
1031,20180730H190062,unassigned
1032,20180730H190070,unassigned
1033,20180730H190086,unassigned
1034,20180730H190095,unassigned
1035,20180730H190096,unassigned
1036,20180730H190097,unassigned
1037,20180730H190103,unassigned
1038,20180730H190129,unassigned
1039,20180730H190141,unassigned
1040,20180730H190179,unassigned
1041,20180730H190224,unassigned
1042,20180730H190230,unassigned
1043,20180730H190293,unassigned
1044,20180730H190298,unassigned
1045,20180730H190301,unassigned
1046,20180730H190362,unassigned
1047,20180730H200002,unassigned
1048,20180730H200004,unassigned
1049,20180730H200005,unassigned
1050,20180730H200006,unassigned
1051,20180730H200007,unassigned
1052,20180730H200008,unassigned
1053,20180730H200009,unassigned
1054,20180730H200010,unassigned
1055,20180730H200012,unassigned
1056,20180730H200014,unassigned
1057,20180730H200016,unassigned
1058,20180730H200017,unassigned
1059,20180730H200024,unassigned
1060,20180730H200034,unassigned
1061,20180730H200046,unassigned
1062,20180730H200047,unassigned
1063,20180730H200048,unassigned
1064,20180730H200068,unassigned
1065,20180730H200120,unassigned
1066,20180730H200123,unassigned
1067,20180730H200208,unassigned
1068,20180730H200256,unassigned
1069,20180730H200265,unassigned
1070,20180730H200335,unassigned
1071,20180730H200395,unassigned
1072,20180730H200402,unassigned
1073,20180730H200427,unassigned
1074,20180730H200480,unassigned
1075,20180730H200508,unassigned
1076,20180730H210008,unassigned
1077,20180730H210014,unassigned
1078,20180730H210055,unassigned
1079,20180730H210059,unassigned
1080,20180730H210097,unassigned
1081,20180730H210098,unassigned
1082,20180730H210124,unassigned
1083,20180730H210128,unassigned
1084,20180730H210155,unassigned
1085,20180730H210199,unassigned
